test error,training error,validation error
0.993485342019544,0.986231884057971,0.9521739130434783
0.993485342019544,0.986231884057971,0.9521739130434783
0.993485342019544,0.986231884057971,0.9521739130434783
0.993485342019544,0.986231884057971,0.9521739130434783
0.993485342019544,0.986231884057971,0.9510869565217391
0.993485342019544,0.986231884057971,0.9510869565217391
0.993485342019544,0.986231884057971,0.9510869565217391
0.993485342019544,0.9858695652173913,0.9510869565217391
0.993485342019544,0.9858695652173913,0.9510869565217391
0.993485342019544,0.9858695652173913,0.9510869565217391
0.993485342019544,0.9858695652173913,0.9510869565217391
0.993485342019544,0.9858695652173913,0.9510869565217391
0.993485342019544,0.9858695652173913,0.95
0.993485342019544,0.9858695652173913,0.95
0.993485342019544,0.9858695652173913,0.95
0.993485342019544,0.9858695652173913,0.95
0.993485342019544,0.9858695652173913,0.9489130434782609
0.993485342019544,0.9858695652173913,0.9489130434782609
0.993485342019544,0.9858695652173913,0.9489130434782609
0.993485342019544,0.9858695652173913,0.9489130434782609
0.993485342019544,0.9858695652173913,0.9489130434782609
0.993485342019544,0.9855072463768116,0.9489130434782609
0.993485342019544,0.9855072463768116,0.9489130434782609
0.993485342019544,0.9855072463768116,0.9489130434782609
